header
file_type,date_created,start,end,warehouse_name
consumption,2022-06-21T00:00:00+01:00,2022-07-01T00:00:00+01:00,2023-12-31T00:00:00+01:00,Warehouse_1

consumption_item
item_no,consumption_date,project_id,quantity,unit
01-0772102-15,2022-07-27T00:00:00+01:00,piper_repair,3,ks
149-NL,2022-07-27T00:00:00+01:00,piper_repair,6,ks
321460,2022-07-27T00:00:00+01:00,piper_repair,8,ks
01-0772102-15,2022-07-30T00:00:00+01:00,piper_repair,5,ks
149-NL,2022-07-30T00:00:00+01:00,piper_repair,10,ks
321460,2022-07-30T00:00:00+01:00,piper_repair,30,ks
01-0772102-15,2022-12-26T00:00:00+01:00,proj1164,4,ks
01-0772102-15,2022-11-23T00:00:00+01:00,proj1103,7,ks
149-NL,2022-09-20T00:00:00+01:00,proj1167,8,ks
321460,2022-09-25T00:00:00+01:00,proj1076,3,ks
42536,2022-10-30T00:00:00+01:00,proj1155,1,ks
01-0772102-10,2022-11-09T00:00:00+01:00,proj1105,9,ks
42543,2022-09-01T00:00:00+01:00,proj1130,4,ks
42523,2022-11-13T00:00:00+01:00,proj1147,1,ks
42523,2022-09-02T00:00:00+01:00,proj1070,8,ks
331440,2022-10-09T00:00:00+01:00,proj1082,7,ks
42528,2022-11-19T00:00:00+01:00,proj1169,10,ks
42523,2022-10-09T00:00:00+01:00,proj1299,1,ks
46157,2022-10-06T00:00:00+01:00,proj1264,3,ks
321440,2022-11-06T00:00:00+01:00,proj1277,7,ks
42536,2022-10-09T00:00:00+01:00,proj1087,3,ks
321460,2022-09-18T00:00:00+01:00,proj1138,7,ks
42537,2022-10-18T00:00:00+01:00,proj1235,2,ks
42528,2022-10-15T00:00:00+01:00,proj1043,2,ks
86255,2022-11-03T00:00:00+01:00,proj1159,9,ks
331440,2022-11-22T00:00:00+01:00,proj1040,7,ks
321440,2022-10-28T00:00:00+01:00,proj1096,9,ks
42527,2022-11-25T00:00:00+01:00,proj1285,9,ks
K10-00280-01,2022-12-02T00:00:00+01:00,proj1096,4,ks
46124,2022-12-06T00:00:00+01:00,proj1197,5,ks
321440,2022-10-03T00:00:00+01:00,proj1243,2,ks
46124,2022-11-20T00:00:00+01:00,proj1289,1,ks
321440,2022-11-25T00:00:00+01:00,proj1219,1,ks
42526,2022-12-20T00:00:00+01:00,proj1196,3,ks
46162,2022-11-03T00:00:00+01:00,proj1155,8,ks
331440,2022-10-08T00:00:00+01:00,proj1181,1,ks
46124,2022-09-27T00:00:00+01:00,proj1023,8,ks
35311,2022-11-18T00:00:00+01:00,proj1206,7,ks
321460,2022-11-11T00:00:00+01:00,proj1170,7,ks
01-0772102-10,2022-12-21T00:00:00+01:00,proj1168,6,ks
42537,2022-09-05T00:00:00+01:00,proj1071,9,ks
42543,2022-09-10T00:00:00+01:00,proj1199,6,ks
42526,2022-09-06T00:00:00+01:00,proj1140,8,ks
01-0772102-10,2022-10-27T00:00:00+01:00,proj1272,6,ks
42543,2022-11-23T00:00:00+01:00,proj1211,6,ks
46151,2022-10-23T00:00:00+01:00,proj1293,5,ks
35309,2022-09-29T00:00:00+01:00,proj1272,5,ks
42528,2022-09-09T00:00:00+01:00,proj1120,8,ks
35309,2022-10-22T00:00:00+01:00,proj1204,4,ks
46162,2022-11-01T00:00:00+01:00,proj1180,10,ks
86255,2022-09-10T00:00:00+01:00,proj1206,8,ks
42535,2022-10-01T00:00:00+01:00,proj1287,9,ks
46157,2022-10-30T00:00:00+01:00,proj1068,7,ks
42528,2022-09-17T00:00:00+01:00,proj1159,8,ks
42536,2022-12-12T00:00:00+01:00,proj1087,8,ks
42535,2022-09-13T00:00:00+01:00,proj1171,7,ks
42525,2022-11-14T00:00:00+01:00,proj1055,6,ks
149-NL,2022-12-30T00:00:00+01:00,proj1124,3,ks
86255,2022-12-21T00:00:00+01:00,proj1125,5,ks
35309,2022-12-03T00:00:00+01:00,proj1070,4,ks
42528,2022-12-18T00:00:00+01:00,proj1288,10,ks
149-NL,2022-12-18T00:00:00+01:00,proj1216,4,ks
46124,2022-10-20T00:00:00+01:00,proj1043,4,ks
46151,2022-10-03T00:00:00+01:00,proj1029,6,ks
01-0772102-15,2022-10-13T00:00:00+01:00,proj1237,7,ks
46124,2022-12-20T00:00:00+01:00,proj1059,10,ks
42525,2022-11-16T00:00:00+01:00,proj1174,6,ks
321440,2022-12-30T00:00:00+01:00,proj1040,9,ks
