header
file_type,date_created,warehouse_name
warehouseState,2022-06-21T00:00:00+01:00,Warehouse_1

state
item_no,store_qty,minimum_qty,immediate_consumption,unit,total_price
01-0790906-00,1,0,0,ks,13999
01-0772102-10,0,0,0,ks,0
01-0772102-15,5000,3,0,ks,0
46151,2,1,0,ks,22800
46157,1,2,0,ks,9900
46162,5,3,0,ks,24250
46124,0,0,0,ks,0
42525,0,0,0,ks,0
42526,0,0,0,ks,0
42527,0,0,0,ks,0
42528,0,0,0,ks,0
42535,0,0,0,ks,0
42536,0,0,0,ks,0
42537,0,0,0,ks,0
42543,0,0,0,ks,0
42523,0,0,0,ks,0
35311,2,2,0,ks,14800
35309,2,2,0,ks,15400
321440,1,1,0,ks,7600
331440,1,1,0,ks,6080
321460,120,1,0,ks,7700
331460,5,0,0,ks,40500
K10-00280-01,1,0,0,ks,56513
86255,1,0,0,ks,2200
149-NL,300,0,0,ks,58500
